prot,role,srvip,mtu,len,ws,br,par,affin,srvnode,cltnode,t,Bandwidth
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u12,1,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u12,1,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u12,1,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u12,2,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u12,2,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u12,2,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u12,2,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u15,0,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u15,0,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u15,0,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u15,0,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u15,1,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u15,1,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u15,1,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u15,1,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u15,2,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u15,2,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u15,2,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u15,2,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u16,0,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u16,0,227.0
tcp,clt,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u16,0,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u09,mocr4pcc04u16,0,227.0
tcp,srv,192.168.60.20,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u09,mocr4pcc04u16,1,227.0
